y2_statefips,y2_countyfips,y1_statefips,y1_countyfips,y1_state,y1_countyname,n1,n2,agi
6,5,57,9,FR,Foreign - Other flows,-1,-1,-1
6,7,96,0,CA,Butte County Total Migration-US and Foreign,4726,7849,275031
6,7,97,0,CA,Butte County Total Migration-US,4726,7849,275031
6,7,97,1,CA,Butte County Total Migration-Same State,3656,5996,211731
6,7,97,3,CA,Butte County Total Migration-Different State,1070,1853,63300
6,7,6,7,CA,Butte County Non-migrants,72375,141109,5809857
6,7,6,67,CA,Sacramento County,393,691,19435
6,7,6,101,CA,Sutter County,247,509,12298
6,7,6,21,CA,Glenn County,228,390,11502
6,7,6,103,CA,Tehama County,204,339,10789
6,7,6,37,CA,Los Angeles County,172,287,9079
6,7,6,89,CA,Shasta County,167,231,7855
6,7,6,13,CA,Contra Costa County,166,292,13277
6,7,6,115,CA,Yuba County,159,287,7526
6,7,6,1,CA,Alameda County,143,229,11434
6,7,6,61,CA,Placer County,119,194,8357
6,7,6,85,CA,Santa Clara County,114,172,9740
6,7,6,73,CA,San Diego County,107,176,8733
6,7,6,95,CA,Solano County,83,149,4507
6,7,6,77,CA,San Joaquin County,81,148,5881
6,7,6,57,CA,Nevada County,79,112,3500
6,7,6,63,CA,Plumas County,70,121,4562
6,7,32,31,NV,Washoe County,68,112,3362
6,7,6,65,CA,Riverside County,66,97,2606
6,7,6,97,CA,Sonoma County,65,94,4077
6,7,6,59,CA,Orange County,63,88,5109
6,7,6,81,CA,San Mateo County,55,77,7312
6,7,6,113,CA,Yolo County,52,74,2258
6,7,6,71,CA,San Bernardino County,51,89,2440
6,7,6,23,CA,Humboldt County,50,73,2671
6,7,6,17,CA,El Dorado County,47,66,3029
6,7,6,99,CA,Stanislaus County,47,70,1816
6,7,6,29,CA,Kern County,42,67,2102
6,7,6,53,CA,Monterey County,40,58,1793
6,7,6,19,CA,Fresno County,39,62,1441
6,7,6,45,CA,Mendocino County,38,56,2644
6,7,6,111,CA,Ventura County,38,44,1714
6,7,32,3,NV,Clark County,38,63,1619
6,7,6,11,CA,Colusa County,37,59,1789
6,7,6,79,CA,San Luis Obispo County,37,58,2318
6,7,6,35,CA,Lassen County,36,57,1443
6,7,6,83,CA,Santa Barbara County,32,42,1671
6,7,6,33,CA,Lake County,31,58,1614
6,7,6,87,CA,Santa Cruz County,27,35,1803
6,7,6,107,CA,Tulare County,27,46,1059
6,7,6,93,CA,Siskiyou County,26,36,1086
6,7,4,13,AZ,Maricopa County,25,42,1570
6,7,6,75,CA,San Francisco County,25,28,2499
6,7,6,47,CA,Merced County,22,40,1099
6,7,41,51,OR,Multnomah County,20,31,737
6,7,58,0,SS,Other flows - Same State,131,195,5864
6,7,59,0,DS,Other flows - Different State,919,1605,56013
6,7,59,1,DS,Other flows - Northeast,62,95,4759
6,7,59,3,DS,Other flows - Midwest,123,212,6855
6,7,59,5,DS,Other flows - South,272,455,15036
6,7,59,7,DS,Other flows - West,462,843,29363
6,7,57,9,FR,Foreign - Other flows,-1,-1,-1
6,9,96,0,CA,Calaveras County Total Migration-US and Foreign,1647,3082,154735
6,9,97,0,CA,Calaveras County Total Migration-US,1647,3082,154735
6,9,97,1,CA,Calaveras County Total Migration-Same State,1435,2726,140980
6,9,97,3,CA,Calaveras County Total Migration-Different State,212,356,13754
6,9,6,9,CA,Calaveras County Non-migrants,17020,33044,1477690
6,9,6,77,CA,San Joaquin County,344,786,28146
6,9,6,1,CA,Alameda County,120,244,18905
6,9,6,13,CA,Contra Costa County,115,215,15374
6,9,6,67,CA,Sacramento County,110,189,8407
6,9,6,99,CA,Stanislaus County,106,218,7625
6,9,6,85,CA,Santa Clara County,100,161,18895
6,9,6,109,CA,Tuolumne County,86,132,4660
6,9,6,5,CA,Amador County,62,113,3868
6,9,6,81,CA,San Mateo County,46,82,7286
6,9,6,61,CA,Placer County,25,45,2557
6,9,6,37,CA,Los Angeles County,22,33,1839
6,9,6,73,CA,San Diego County,22,31,1339
6,9,6,95,CA,Solano County,22,47,1659
6,9,6,87,CA,Santa Cruz County,21,29,1859
6,9,58,0,SS,Other flows - Same State,234,401,18562
6,9,59,0,DS,Other flows - Different State,212,356,13754
6,9,59,1,DS,Other flows - Northeast,-1,-1,-1
6,9,59,3,DS,Other flows - Midwest,34,68,1707
6,9,59,5,DS,Other flows - South,49,87,3461
6,9,59,7,DS,Other flows - West,129,201,8585
6,11,96,0,CA,Colusa County Total Migration-US and Foreign,377,725,23839
6,11,97,0,CA,Colusa County Total Migration-US,377,725,23839
6,11,97,1,CA,Colusa County Total Migration-Same State,354,690,22998
6,11,97,3,CA,Colusa County Total Migration-Different State,23,35,841
6,11,6,11,CA,Colusa County Non-migrants,8541,18856,632531
6,11,6,113,CA,Yolo County,61,138,6560
6,11,6,67,CA,Sacramento County,58,110,3421
6,11,6,101,CA,Sutter County,43,89,2470
6,11,6,7,CA,Butte County,23,31,968
6,11,6,21,CA,Glenn County,20,36,1095
6,11,58,0,SS,Other flows - Same State,149,286,8485
6,11,59,0,DS,Other flows - Different State,23,35,841
6,11,59,1,DS,Other flows - Northeast,-1,-1,-1
6,11,59,3,DS,Other flows - Midwest,-1,-1,-1
6,11,59,5,DS,Other flows - South,-1,-1,-1
6,11,59,7,DS,Other flows - West,23,35,841
6,11,57,9,FR,Foreign - Other flows,-1,-1,-1
6,13,96,0,CA,Contra Costa County Total Migration-US and Foreign,27074,48153,4406137
6,13,97,0,CA,Contra Costa County Total Migration-US,27036,48081,4404165
6,13,97,1,CA,Contra Costa County Total Migration-Same State,21708,38766,3596194
6,13,97,3,CA,Contra Costa County Total Migration-Different State,5328,9315,807971
6,13,98,0,CA,Contra Costa County Total Migration-Foreign,38,72,1972
6,13,6,13,CA,Contra Costa County Non-migrants,450543,922646,72367457
6,13,6,1,CA,Alameda County,8244,15271,1416882
6,13,6,75,CA,San Francisco County,2513,4431,603863
6,13,6,85,CA,Santa Clara County,1873,3884,497026
6,13,6,81,CA,San Mateo County,1686,3292,326889
6,13,6,95,CA,Solano County,1326,2146,89893
6,13,6,37,CA,Los Angeles County,837,1270,101370
6,13,6,67,CA,Sacramento County,794,1240,58659
6,13,6,77,CA,San Joaquin County,709,1304,59470
6,13,6,73,CA,San Diego County,407,617,46883
6,13,6,41,CA,Marin County,385,612,50837
6,13,6,59,CA,Orange County,325,534,44362
6,13,6,97,CA,Sonoma County,291,411,28685
6,13,53,33,WA,King County,227,395,64942
6,13,6,99,CA,Stanislaus County,199,316,28393
6,13,4,13,AZ,Maricopa County,186,297,15264
6,13,6,61,CA,Placer County,179,330,32529
6,13,32,3,NV,Clark County,175,276,9143
6,13,6,65,CA,Riverside County,167,271,12580
6,13,6,113,CA,Yolo County,155,227,11179
6,13,6,55,CA,Napa County,150,232,12713
6,13,48,201,TX,Harris County,145,327,36763
6,13,6,19,CA,Fresno County,131,236,10199
6,13,6,87,CA,Santa Cruz County,127,184,16971
6,13,32,31,NV,Washoe County,117,171,9350
6,13,17,31,IL,Cook County,116,187,17294
6,13,6,71,CA,San Bernardino County,115,190,7934
6,13,6,53,CA,Monterey County,113,192,13026
6,13,36,61,NY,New York County,92,139,23308
6,13,6,17,CA,El Dorado County,87,137,7730
6,13,15,3,HI,Honolulu County,83,121,9342
6,13,6,29,CA,Kern County,79,143,6976
6,13,6,7,CA,Butte County,77,125,3905
6,13,6,57,CA,Nevada County,73,125,12995
6,13,6,111,CA,Ventura County,69,132,12887
6,13,25,17,MA,Middlesex County,68,110,10289
6,13,6,83,CA,Santa Barbara County,66,86,6459
6,13,36,81,NY,Queens County,63,103,6614
6,13,6,47,CA,Merced County,62,109,4395
6,13,48,453,TX,Travis County,60,102,9669
6,13,6,79,CA,San Luis Obispo County,59,86,5417
6,13,49,35,UT,Salt Lake County,59,100,4849
6,13,36,47,NY,Kings County,56,81,5076
6,13,41,51,OR,Multnomah County,56,72,2866
6,13,48,113,TX,Dallas County,53,80,14045
6,13,24,31,MD,Montgomery County,49,94,8004
6,13,6,9,CA,Calaveras County,47,74,4595
6,13,53,53,WA,Pierce County,47,98,4551
6,13,48,339,TX,Montgomery County,46,121,27065
6,13,6,23,CA,Humboldt County,44,55,2170
6,13,8,31,CO,Denver County,43,65,12784
6,13,13,121,GA,Fulton County,43,81,4417
6,13,51,59,VA,Fairfax County,41,90,7174
6,13,48,157,TX,Fort Bend County,39,101,8684
6,13,6,89,CA,Shasta County,38,60,1872
6,13,16,1,ID,Ada County,38,65,5162
6,13,48,439,TX,Tarrant County,38,70,2993
6,13,57,5,FR,Foreign - APO/FPO ZIPs,38,72,1972
6,13,41,67,OR,Washington County,37,75,6681
6,13,53,61,WA,Snohomish County,37,72,6927
6,13,6,45,CA,Mendocino County,35,55,2260
6,13,11,1,DC,District of Columbia,34,50,5954
6,13,12,86,FL,Miami-Dade County,34,65,4437
6,13,8,41,CO,El Paso County,32,58,4129
6,13,4,19,AZ,Pima County,31,45,1717
6,13,12,11,FL,Broward County,31,62,4099
6,13,6,107,CA,Tulare County,30,51,3558
6,13,25,25,MA,Suffolk County,30,38,3586
6,13,27,53,MN,Hennepin County,30,62,4719
6,13,12,99,FL,Palm Beach County,29,54,3187
6,13,41,39,OR,Lane County,29,46,2040
6,13,48,85,TX,Collin County,28,71,8143
6,13,26,125,MI,Oakland County,27,50,5093
6,13,48,29,TX,Bexar County,27,44,3390
6,13,12,95,FL,Orange County,26,35,2207
6,13,36,103,NY,Suffolk County,26,39,3116
6,13,47,37,TN,Davidson County,26,39,4137
6,13,6,109,CA,Tuolumne County,25,32,1570
6,13,6,39,CA,Madera County,24,40,2257
6,13,34,17,NJ,Hudson County,24,54,4282
6,13,37,119,NC,Mecklenburg County,24,41,2489
6,13,48,491,TX,Williamson County,24,52,4500
6,13,6,5,CA,Amador County,22,27,2319
6,13,8,59,CO,Jefferson County,22,38,2076
6,13,25,21,MA,Norfolk County,22,49,5081
6,13,36,119,NY,Westchester County,21,51,3674
6,13,6,31,CA,Kings County,20,26,817
6,13,8,5,CO,Arapahoe County,20,33,3036
6,13,42,101,PA,Philadelphia County,20,27,2518
6,13,48,141,TX,El Paso County,20,43,1205
6,13,58,0,SS,Other flows - Same State,125,215,8584
6,13,59,0,DS,Other flows - Different State,2677,4682,343990
6,13,59,1,DS,Other flows - Northeast,439,792,64183
6,13,59,3,DS,Other flows - Midwest,558,954,72479
6,13,59,5,DS,Other flows - South,1036,1873,130350
6,13,59,7,DS,Other flows - West,644,1063,76977
6,13,57,9,FR,Foreign - Other flows,-1,-1,-1
6,15,96,0,CA,Del Norte County Total Migration-US and Foreign,556,934,32003
6,15,97,0,CA,Del Norte County Total Migration-US,556,934,32003
6,15,97,1,CA,Del Norte County Total Migration-Same State,367,604,22982
6,15,97,3,CA,Del Norte County Total Migration-Different State,189,330,9021
6,15,6,15,CA,Del Norte County Non-migrants,8487,17209,519466
6,15,41,15,OR,Curry County,44,78,1874
6,15,6,23,CA,Humboldt County,34,56,1552
6,15,6,67,CA,Sacramento County,34,54,2366
6,15,6,37,CA,Los Angeles County,32,43,1845
6,15,58,0,SS,Other flows - Same State,267,451,17219
6,15,59,0,DS,Other flows - Different State,145,252,7146
6,15,59,1,DS,Other flows - Northeast,-1,-1,-1
6,15,59,3,DS,Other flows - Midwest,-1,-1,-1
6,15,59,5,DS,Other flows - South,30,60,1113
6,15,59,7,DS,Other flows - West,115,192,6033
6,17,96,0,CA,El Dorado County Total Migration-US and Foreign,6182,11018,747175
6,17,97,0,CA,El Dorado County Total Migration-US,6182,11018,747175
6,17,97,1,CA,El Dorado County Total Migration-Same State,4757,8657,589676
6,17,97,3,CA,El Dorado County Total Migration-Different State,1425,2361,157499
6,17,6,17,CA,El Dorado County Non-migrants,74318,150528,9749830
6,17,6,67,CA,Sacramento County,1805,3350,194726
6,17,6,61,CA,Placer County,402,727,45111
6,17,6,85,CA,Santa Clara County,320,645,68442
6,17,6,13,CA,Contra Costa County,269,555,45559
6,17,6,1,CA,Alameda County,230,447,47017
6,17,6,81,CA,San Mateo County,141,291,26066
6,17,6,37,CA,Los Angeles County,128,210,11663
6,17,32,5,NV,Douglas County,127,192,10834
6,17,6,73,CA,San Diego County,125,192,11528
6,17,32,31,NV,Washoe County,105,159,12092
6,17,6,75,CA,San Francisco County,100,145,23097
6,17,6,97,CA,Sonoma County,89,124,7850
6,17,6,77,CA,San Joaquin County,82,149,11843
6,17,6,113,CA,Yolo County,79,133,7622
6,17,6,59,CA,Orange County,75,120,6930
6,17,6,95,CA,Solano County,72,137,8599
6,17,6,5,CA,Amador County,60,117,4011
6,17,6,57,CA,Nevada County,59,97,4818
6,17,6,87,CA,Santa Cruz County,51,78,4587
6,17,4,13,AZ,Maricopa County,47,81,5812
6,17,6,65,CA,Riverside County,47,94,4374
6,17,53,33,WA,King County,46,82,10280
6,17,6,41,CA,Marin County,43,68,8275
6,17,6,99,CA,Stanislaus County,43,71,3027
6,17,6,83,CA,Santa Barbara County,41,58,2902
6,17,32,3,NV,Clark County,41,70,3004
6,17,6,7,CA,Butte County,36,52,2159
6,17,6,53,CA,Monterey County,35,55,2858
6,17,6,79,CA,San Luis Obispo County,34,54,3007
6,17,6,115,CA,Yuba County,31,54,1505
6,17,6,19,CA,Fresno County,30,62,3196
6,17,6,23,CA,Humboldt County,30,49,1556
6,17,6,89,CA,Shasta County,30,41,2286
6,17,6,55,CA,Napa County,28,47,3607
6,17,6,71,CA,San Bernardino County,26,45,2694
6,17,32,510,NV,Carson City,25,45,1000
6,17,6,109,CA,Tuolumne County,23,38,2400
6,17,6,111,CA,Ventura County,21,33,2020
6,17,58,0,SS,Other flows - Same State,172,319,14339
6,17,59,0,DS,Other flows - Different State,1034,1732,114477
6,17,59,1,DS,Other flows - Northeast,124,197,14174
