0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
02/01/2022 00:00:00,715989,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715990,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715991,7,5,N,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715992,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715993,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715994,7,5,N,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715995,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715996,7,5,S,ML,0.275,0,0,1469.0,0.0285,66.8,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.015,75.7,243.0,0.0204,72.6,268.0,0.0345,66.2,313.0,0.0434,65.1,337.0,0.0374,62.4,156.0,0.0202,62.6,,,,,,
02/01/2022 00:00:00,715997,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715998,7,5,N,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715999,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716000,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716001,7,5,N,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716002,7,5,S,OR,,114,100,31.0,0.0045,,,,,,,,31.0,0.0045,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716003,7,5,N,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716004,7,5,S,OR,,114,100,25.0,0.0039,,,,,,,,25.0,0.0039,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716005,7,5,N,OR,,114,100,39.0,0.0046,,,,,,,,39.0,0.0046,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716006,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716007,7,5,N,ML,1.75,0,0,1435.0,0.0341,62.9,0.0,0.0,0.0,0.0,0.0,0.4,249.0,0.0298,69.4,350.0,0.0346,66.2,300.0,0.0364,61.5,281.0,0.0362,58.8,255.0,0.0337,58.4,,,,,,,,,
02/01/2022 00:00:00,716008,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,716009,7,5,N,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
