"X","tournament_id","team_id","team_name","group_name","played","wins","draws","losses","goals_for","goals_against","goal_difference","points","advanced","confederation_code","region_name","year","prior_tournaments","squad_size","avg_age","forward_share","defender_share","avg_career_tournaments","avg_prior_wc","max_prior_wc","debutant_share","yellows","reds","total_cards","is_host","foreign_manager"
40,"WC-1958","T-36","Hungary","Group 3",3,1,1,1,6,3,3,3,0,"UEFA","Europe",1958,1,22,27.2272727272727,0.5,0.272727272727273,1.86363636363636,0.272727272727273,1,0.727272727272727,0,0,0,0,0
41,"WC-1958","T-46","Mexico","Group 3",3,0,1,2,1,8,-7,1,0,"CONCACAF","North America",1958,3,22,26.9047619047619,0.363636363636364,0.272727272727273,1.81818181818182,0.318181818181818,2,0.772727272727273,0,0,0,0,1
42,"WC-1958","T-09","Brazil","Group 4",3,2,1,0,5,0,5,5,1,"CONMEBOL","South America",1958,3,22,25.9545454545455,0.363636363636364,0.272727272727273,2.36363636363636,0.318181818181818,2,0.772727272727273,0,0,0,0,0
43,"WC-1958","T-72","Soviet Union","Group 4",3,1,1,1,4,4,0,3,1,"UEFA","Europe, Asia",1958,0,22,26.6818181818182,0.454545454545455,0.272727272727273,1.45454545454545,0,0,1,0,0,0,0,0
44,"WC-1958","T-28","England","Group 4",3,0,3,0,4,4,0,3,0,"UEFA","Europe",1958,2,22,25.3181818181818,0.454545454545455,0.227272727272727,1.68181818181818,0.227272727272727,2,0.863636363636364,0,0,0,0,0
45,"WC-1958","T-05","Austria","Group 4",3,0,1,2,2,7,-5,1,0,"UEFA","Europe",1958,1,22,27.5454545454545,0.409090909090909,0.272727272727273,1.5,0.5,1,0.5,0,0,0,0,0
46,"WC-1962","T-72","Soviet Union","Group 1",3,2,1,0,8,5,3,5,1,"UEFA","Europe, Asia",1962,1,22,25.8181818181818,0.318181818181818,0.227272727272727,1.90909090909091,0.318181818181818,1,0.681818181818182,0,0,0,0,0
47,"WC-1962","T-87","Yugoslavia","Group 1",3,2,0,1,8,3,5,4,1,"UEFA","Europe",1962,4,22,25.8181818181818,0.227272727272727,0.318181818181818,1.22727272727273,0.227272727272727,1,0.772727272727273,0,0,0,0,0
48,"WC-1962","T-84","Uruguay","Group 1",3,1,0,2,4,6,-2,2,0,"CONMEBOL","South America",1962,3,22,25.0909090909091,0.318181818181818,0.318181818181818,1.77272727272727,0.0909090909090909,2,0.954545454545455,0,0,0,0,0
49,"WC-1962","T-16","Colombia","Group 1",3,0,1,2,5,11,-6,1,0,"CONMEBOL","South America",1962,0,22,26.2272727272727,0.409090909090909,0.318181818181818,1,0,0,1,0,0,0,0,1
