"row_id","campaign","tournament_id","team_id","team_name","group_name","played","wins","draws","losses","goals_for","goals_against","goal_difference","points_raw","advanced","confederation_code","region_name","year","prior_tournaments","squad_size","avg_age","forward_share","defender_share","avg_career_tournaments","avg_prior_wc","max_prior_wc","debutant_share","yellows","reds","total_cards","is_host","foreign_manager","points_std","conf","year_c"
76,"South Korea 1986","WC-1986","T-71","South Korea","Group A",3,0,1,2,4,7,-3,1,0,"AFC","East Asia",1986,1,22,26.1818181818182,0.272727272727273,0.318181818181818,1.45454545454545,0,0,1,7,0,7,0,0,1,"AFC",-2
77,"Mexico 1986","WC-1986","T-46","Mexico","Group B",3,2,1,0,4,2,2,5,1,"CONCACAF","North America",1986,8,22,26.6363636363636,0.227272727272727,0.272727272727273,1.18181818181818,0.0909090909090909,1,0.909090909090909,5,0,5,1,1,7,"CONCACAF",-2
78,"Paraguay 1986","WC-1986","T-55","Paraguay","Group B",3,1,2,0,4,3,1,4,1,"CONMEBOL","South America",1986,3,22,26.9090909090909,0.318181818181818,0.272727272727273,1,0,0,1,4,0,4,0,0,5,"CONMEBOL",-2
79,"Belgium 1986","WC-1986","T-06","Belgium","Group B",3,1,1,1,5,5,0,3,1,"UEFA","Europe",1986,4,22,27.5,0.181818181818182,0.318181818181818,2.13636363636364,0.363636363636364,1,0.636363636363636,3,0,3,0,0,4,"UEFA",-2
80,"Iraq 1986","WC-1986","T-39","Iraq","Group B",3,0,0,3,1,4,-3,0,0,"AFC","Middle East",1986,0,22,26.5454545454545,0.227272727272727,0.318181818181818,1,0,0,1,9,1,9,0,1,0,"AFC",-2
81,"Soviet Union 1986","WC-1986","T-72","Soviet Union","Group C",3,2,1,0,9,1,8,5,1,"UEFA","Europe, Asia",1986,5,22,26.4090909090909,0.136363636363636,0.318181818181818,1.90909090909091,0.409090909090909,1,0.590909090909091,2,0,2,0,0,7,"UEFA",-2
82,"France 1986","WC-1986","T-30","France","Group C",3,2,1,0,5,1,4,5,1,"UEFA","Europe",1986,6,22,27.9090909090909,0.227272727272727,0.318181818181818,1.59090909090909,0.590909090909091,2,0.590909090909091,4,0,4,0,0,7,"UEFA",-2
83,"Hungary 1986","WC-1986","T-36","Hungary","Group C",3,1,0,2,2,9,-7,2,0,"UEFA","Europe",1986,6,22,27.1818181818182,0.181818181818182,0.409090909090909,1.18181818181818,0.181818181818182,1,0.818181818181818,0,0,0,0,0,3,"UEFA",-2
84,"Canada 1986","WC-1986","T-12","Canada","Group C",3,0,0,3,0,5,-5,0,0,"CONCACAF","North America",1986,0,22,26.0909090909091,0.227272727272727,0.318181818181818,1,0,0,1,2,1,2,0,1,0,"CONCACAF",-2
85,"Brazil 1986","WC-1986","T-09","Brazil","Group D",3,3,0,0,5,0,5,6,1,"CONMEBOL","South America",1986,10,22,27.1363636363636,0.181818181818182,0.318181818181818,2.04545454545455,0.636363636363636,3,0.636363636363636,1,0,1,0,0,9,"CONMEBOL",-2
86,"Spain 1986","WC-1986","T-73","Spain","Group D",3,2,0,1,5,2,3,4,1,"UEFA","Europe",1986,5,22,26.8636363636364,0.181818181818182,0.318181818181818,1.68181818181818,0.272727272727273,2,0.772727272727273,3,0,3,0,0,6,"UEFA",-2
87,"Northern Ireland 1986","WC-1986","T-52","Northern Ireland","Group D",3,0,1,2,2,6,-4,1,0,"UEFA","Europe",1986,2,22,27.1818181818182,0.272727272727273,0.272727272727273,1.5,0.5,1,0.5,5,0,5,0,0,1,"UEFA",-2
88,"Algeria 1986","WC-1986","T-01","Algeria","Group D",3,0,1,2,1,5,-4,1,0,"CAF","Africa",1986,1,22,28.2727272727273,0.272727272727273,0.318181818181818,1.45454545454545,0.454545454545455,1,0.545454545454545,2,0,2,0,0,1,"CAF",-2
89,"Denmark 1986","WC-1986","T-22","Denmark","Group E",3,3,0,0,9,1,8,6,1,"UEFA","Europe",1986,0,22,28.0454545454545,0.227272727272727,0.272727272727273,1.04545454545455,0,0,1,3,1,3,0,1,9,"UEFA",-2
90,"West Germany 1986","WC-1986","T-86","West Germany","Group E",3,1,1,1,3,4,-1,3,1,"UEFA","Europe",1986,8,22,28.4090909090909,0.227272727272727,0.363636363636364,2,0.409090909090909,2,0.636363636363636,2,0,2,0,1,4,"UEFA",-2
91,"Uruguay 1986","WC-1986","T-84","Uruguay","Group E",3,0,2,1,2,7,-5,2,1,"CONMEBOL","South America",1986,7,22,26.7272727272727,0.227272727272727,0.318181818181818,1.27272727272727,0,0,1,7,2,8,0,0,2,"CONMEBOL",-2
92,"Scotland 1986","WC-1986","T-64","Scotland","Group E",3,0,1,2,1,3,-2,1,0,"UEFA","Europe",1986,5,22,27.7272727272727,0.272727272727273,0.363636363636364,1.90909090909091,0.5,2,0.590909090909091,5,0,5,0,0,1,"UEFA",-2
93,"Morocco 1986","WC-1986","T-47","Morocco","Group F",3,1,2,0,3,1,2,4,1,"CAF","Africa",1986,1,22,26.6363636363636,0.181818181818182,0.272727272727273,1.04545454545455,0,0,1,3,0,3,0,1,5,"CAF",-2
